card_name,elixir_cost,card_type,rarity,arena_unlock,targets,damage_type,range,hit_speed,hitpoints,damage,dps,speed,count,spawn_effect,special_ability,description
Minions,3,Troop,Common,1,Air,Single,2.5,1.1,280,90,82,Fast,3,None,None,Three flying units with moderate damage.
Archers,3,Troop,Common,1,Air,Single,5,1.2,125,75,62,Medium,2,None,None,Two ranged units that deal consistent damage.
Knight,3,Troop,Common,1,Ground,Single,0.8,1.2,1390,150,125,Medium,1,None,None,Tough melee fighter with good HP and moderate damage.
Spear Goblins,2,Troop,Common,1,Air,Single,5,1.1,125,40,36,Fast,3,None,None,Three cheap ranged units with quick attacks.
Goblins,2,Troop,Common,1,Ground,Single,0.8,1.1,100,40,36,Fast,3,None,None,"Three fast melee units, low HP and damage."
Bomber,3,Troop,Common,1,Ground,Area,3,1.5,350,100,67,Medium,1,None,None,Deals splash damage with each bomb throw.
Skeletons,1,Troop,Common,1,Ground,Single,0.8,1,100,40,40,Very Fast,3,None,None,Three weak melee units with very fast attacks.
Barbarians,5,Troop,Common,1,Ground,Single,0.8,1.5,600,160,107,Medium,4,None,None,Four melee units with high HP and moderate damage.
Electro Spirit,1,Troop,Common,1,Ground,Area,1,0.8,180,90,112,Fast,1,None,None,"Jumps and zaps nearby troops, dealing area damage."
Skeleton Dragons,4,Troop,Common,5,Air,Area,3,1.5,560,110,73,Medium,2,None,None,Flying troops dealing splash damage to nearby enemies.
Fire Spirit,1,Troop,Common,1,Ground,Area,1,0.8,100,150,187,Very Fast,1,None,None,"Explodes on contact, dealing area damage."
Bats,2,Troop,Common,2,Air,Single,1,1,80,50,50,Very Fast,3,None,None,Three fast flying units with low HP and damage.
Royal Recruits,7,Troop,Common,7,Ground,Single,0.8,1.5,700,120,80,Medium,6,None,None,"Six melee units with decent HP and damage, split into two lanes."
Royal Giant,6,Troop,Common,7,Ground,Single,6.5,1.5,1800,150,100,Slow,1,None,None,Ranged giant that targets buildings from a distance.
Ice Spirit,1,Troop,Common,1,Ground,Area,1,1,120,50,50,Very Fast,1,None,None,Freezes and damages nearby troops/buildings on spawn.
Berserker,4,Troop,Common,6,Ground,Single,0.8,1.2,700,150,125,Medium,1,None,None,"Rages when damaged, deals double hits."
Skeleton Barrel,3,Troop,Common,5,Ground,Area,0.8,1,300,50,50,Fast,1,Spawns Skeletons,None,Flying barrel that drops skeletons on impact.
Goblin Gang,3,Troop,Common,3,Ground,Single,0.8,1.1,100,40,36,Fast,6,None,None,Three melee and three ranged goblins in a single card.
Elite Barbarians,6,Troop,Common,7,Ground,Single,0.8,1.5,750,250,167,Fast,2,None,None,Two powerful melee barbarians with high damage and moderate HP.
Minion Horde,5,Troop,Common,5,Air,Single,2.5,1.1,280,90,82,Fast,6,None,None,Six flying units that deal massive damage if uncountered.
Firecracker,3,Troop,Common,5,Ground,Area,5,2,300,100,50,Medium,1,None,None,Shoots a long-range firecracker that explodes on impact.
Rascals,5,Troop,Common,6,Ground,Single,0.8,1.5,400,150,100,Medium,3,None,None,"Two melee and one ranged troop, good for support and countering pushes."
Mini P.E.K.K.A.,4,Troop,Rare,4,Ground,Single,0.8,1.8,1000,325,180,Medium,1,None,None,Single-target melee unit with very high damage.
Musketeer,4,Troop,Rare,4,Air,Single,6.5,1.1,340,150,136,Medium,1,None,None,Ranged attacker with consistent high damage.
Giant,5,Troop,Rare,1,Ground,Single,0.8,1.5,2000,150,100,Slow,1,None,None,Tank that targets buildings and soaks damage.
Valkyrie,4,Troop,Rare,4,Ground,Area,0.8,1.5,1200,180,120,Medium,1,None,None,Spins on deploy dealing area damage to nearby troops.
Mega Minion,3,Troop,Rare,4,Air,Single,2.5,1.8,600,180,100,Medium,1,None,None,Flying unit with high single-target damage and decent HP.
Battle Ram,4,Troop,Rare,5,Ground,Single,0.8,1.5,600,200,133,Fast,2,None,None,"Charges towards buildings dealing high damage, spawns Barbarians on impact."
