tag,name,trophies,explevel,arena,clan
#2Q9JG29RL,Sofiane,10504,71,Royal Road,WeNeedBLΘΘD
#QQJRU28P,Mohamed Light,10150,72,Lumberlove Cabin,Eternal Order
#Y022GRCJQ,CAL SandBox,11521,85,Summit of Heroes,toma toma
#PCJ29YJJ,Samuel Bassotto,10000,74,Lumberlove Cabin,Top Flame
#CPLGLPU80,Sosaa in this B,10774,66,Royal Road,Good Manners
#2LQ2YP98,SK xopxsam,11500,84,Summit of Heroes,Familie Rehwald
#V9QVYG98Y,WR⚡DENISITO爱H♥️,9764,62,Legendary Arena,NoA
#VCQUY9Y8U,Fantastic,10000,59,Lumberlove Cabin,WALKING LEGENDS
#G0CYJ00J,Nicoco23,10830,79,Royal Road,LUX✨Light
#C2RL0PYLV,八哭｜Furina❤️紫棋,10538,79,Royal Road,天空没有极限
#VG0QQ9PQ9,Brazilian storm,9185,64,Valkalla,No Clan
#G90YGCY0V,CHAMP IS BACK,10639,80,Royal Road,No Clan
#J02VCV2C0,Asafy☔️,8059,63,Clash Fest,No Clan
#VYU0L0YGQ,<c3>Kawasaki,10091,74,Lumberlove Cabin,Klansaki
#RCG9RJRJ,"Sorry, Go Home",10000,62,Lumberlove Cabin,Granny Hipps
#9JPPG9QRG,KeremIsGod⭐,10011,79,Lumberlove Cabin,TheImpactGaming
#VR90898,Rainbow,10089,76,Lumberlove Cabin,No Clan
#URG920LY8,有血性的 Agony,10000,56,Lumberlove Cabin,straw hats
#UYL8820RJ,Flash Light,10000,76,Lumberlove Cabin,Sunlight
#UGP2UCQ8Q,AgonyKing,10000,61,Lumberlove Cabin,straw hats
#JV8208UJ9,UNknown,10030,72,Lumberlove Cabin,Langosta
#PC2RUYYYQ,omar,10000,74,Lumberlove Cabin,Live on Tiktok
#208R8PQJP9,Tanjiro,10000,69,Lumberlove Cabin,No Clan
#CVVCU2JJ8,fan,11000,72,Musketeer Street,Sunlight
#2Q2QCYLPR,REV┃ Yoru,10000,79,Lumberlove Cabin,morning dance
#JLY0CGU9J,ᴬˡᵉˣ,10419,71,Lumberlove Cabin,No Clan
#JJ0P22Y0Y,I Alex,10698,69,Royal Road,NoA
#V0G2JGUUR,Mohamed✨Kun,6872,66,Silent Sanctuary,Majestic lords
#22VPV8GRC,律师Kun⚡️WALTER⚡️,10000,73,Lumberlove Cabin,NICA LEAGUE •
#898Y8PGJ9,evolve✨律师,11047,79,Musketeer Street,No Clan
#290VGG28,YT PedroTm CR,10122,75,Lumberlove Cabin,El salvador Top
#2QJUV8PYL,Mano golfinho,6572,66,Silent Sanctuary,WALKING LEGENDS
#290UQY8C,EG Soudy✨Kun,10000,80,Lumberlove Cabin,Majestic lords
#PJL8PCGCP,どくきのこ,11502,75,Summit of Heroes,No Clan
#80PJPGYG9,りく,11085,76,Musketeer Street,枯渇クラン
#G9YV9GR8R,Mohamed Light,11566,80,Summit of Heroes,No Clan
#RJ88Y8U08,CAL Pedro™️✨白影,11500,78,Summit of Heroes,Te amo Pedro™
#2YLRGVVC,Distrughy 毀滅者,11847,82,Summit of Heroes,Romania Gods
#LU0U2QYG,Ewexx,10120,76,Lumberlove Cabin,WeNeedBLΘΘD
#22L8UUV0Q,HERO,11500,78,Summit of Heroes,change white
#VP9GJYQ2,garducho,11500,80,Summit of Heroes,BILUGA
#VCG2JVJ8C,Nooby❤️Bat,10000,57,Lumberlove Cabin,RT6
#2CLV2RP0,むぎったん,10873,83,Royal Road,No Clan
#YVJJL0JJ,✨Cheti✨,11508,78,Summit of Heroes,No Clan
#P8VUY20C,airsurfer,10000,70,Legendary Arena,ホワイトルシアン❤
#9CPCC890,adriel,11500,78,Summit of Heroes,No Clan
#V2YPU2VRR,LF丨绘梨衣✨柒安❤️和韧,10000,73,Lumberlove Cabin,遇到难回答的问题又不说话了？
#JJPV0YP0Y,Clarent,10000,56,Lumberlove Cabin,Clan #RUPQGLQY
#V2J08V0U0,νονης♥️ 野猪奧,10000,58,Lumberlove Cabin,No Clan
#G0LP8UVQ8,미친❤Hugo✨Drill,11939,75,Summit of Heroes,puras copa D
#CR8P920CC,ALVA❤️Gzxˇ,10149,82,Lumberlove Cabin,勇者小皮卡大人
#2UJ2QQJJP,Takuma,10095,75,Lumberlove Cabin,WALKING LEGENDS
#U2LYQJQVY,Light Work,11508,77,Summit of Heroes,Sunlight
#Y9R22RQ2,Ian77,10061,82,Lumberlove Cabin,Junkyard
#GUPVGVQQV,Rüdiger,6178,61,Royal Crypt,No Clan
#UQVL90CQQ,路易十二,10762,70,Royal Road,邪恶大头屠夫钻
#ULR9Y9L2Y,Heisenberg,9471,79,Valkalla,SmokedOut
#RVPGYVQJ8,789_Teppa,10000,76,Lumberlove Cabin,No Clan
