playerTag,cards,averageElixir
#2Q9JG29RL,"['Royal Giant', 'Royal Ghost', 'Skeletons', 'Fisherman', 'Hunter', 'Barbarian Barrel', 'Electro Spirit', 'Fireball']",3.0
#QQJRU28P,"['Witch', 'Knight', 'Graveyard', 'Poison', 'Vines', 'Ice Wizard', 'Goblin Hut', 'Barbarian Barrel']",3.625
#Y022GRCJQ,"['Royal Giant', 'Skeleton Army', 'Mini P.E.K.K.A', 'Giant Skeleton', 'Mother Witch', 'Fisherman', 'Zappies', 'Arrows']",4.125
#PCJ29YJJ,"['Wall Breakers', 'Royal Ghost', 'Suspicious Bush', 'Dart Goblin', 'Fire Spirit', 'Skeletons', 'Ice Spirit', 'The Log']",1.875
#CPLGLPU80,"['Wall Breakers', 'Skeleton Army', 'Mini P.E.K.K.A', 'Suspicious Bush', 'Dart Goblin', 'Fire Spirit', 'Ice Spirit', 'The Log']",2.25
#2LQ2YP98,"['Giant Snowball', 'Tesla', 'Goblin Demolisher', 'Poison', 'Skeletons', 'Berserker', 'Goblin Drill', 'Fire Spirit']",2.75
#V9QVYG98Y,"['Wizard', 'Knight', 'Skeleton Army', 'Giant Skeleton', 'Hog Rider', 'Fireball', 'Tornado', 'The Log']",3.75
#VCQUY9Y8U,"['Hunter', 'Bats', 'Monk', 'Musketeer', 'Sparky', 'Mini P.E.K.K.A', 'Goblin Curse', 'Tombstone']",3.75
#G0CYJ00J,"['Royal Giant', 'Royal Ghost', 'Hunter', 'Fireball', 'Barbarian Barrel', 'Fisherman', 'Electro Spirit', 'Skeletons']",3.0
#C2RL0PYLV,"['Executioner', 'Royal Ghost', 'Golden Knight', 'Goblin Drill', 'Barbarian Barrel', 'Zappies', 'Tornado', 'Giant Skeleton']",3.875
#VG0QQ9PQ9,"['Royal Ghost', 'Royal Giant', 'Skeletons', 'Hunter', 'Fisherman', 'Electro Spirit', 'Fireball', 'Barbarian Barrel']",3.0
#G90YGCY0V,"['Tesla', 'Skeletons', 'Rocket', 'Knight', 'X-Bow', 'Tornado', 'Ice Wizard', 'The Log']",3.5
#J02VCV2C0,"['Skeleton Barrel', 'Skeleton Army', 'Skeleton King', 'Mother Witch', 'Vines', 'Wall Breakers', 'Berserker', 'Dart Goblin']",3.0
#VYU0L0YGQ,"['Skeletons', 'Ice Spirit', 'Mini P.E.K.K.A', 'Electro Spirit', 'Fire Spirit', 'Heal Spirit', 'Mirror', 'Rage']",1.375
#RCG9RJRJ,"['Bomber', 'Giant Snowball', 'Skeletons', 'Fire Spirit', 'Berserker', 'Cannon', 'Goblin Drill', 'Poison']",2.375
#9JPPG9QRG,"['Baby Dragon', 'Witch', 'Knight', 'Graveyard', 'Poison', 'Vines', 'Goblin Hut', 'Skeletons']",3.625
#VR90898,"['Lumberjack', 'Battle Ram', 'Golden Knight', 'Boss Bandit', 'Mother Witch', 'Arrows', 'Spirit Empress', 'Heal Spirit']",4.0
#URG920LY8,"['Zap', 'Wizard', 'Tornado', 'Heal Spirit', 'Giant', 'Arrows', 'Sparky', 'Mini P.E.K.K.A']",3.625
#UYL8820RJ,"['Giant Snowball', 'Tesla', 'Knight', 'Poison', 'Goblin Drill', 'Skeletons', 'Fire Spirit', 'Goblin Demolisher']",2.875
#UGP2UCQ8Q,"['Zap', 'Wizard', 'Arrows', 'Mini P.E.K.K.A', 'Giant', 'Tornado', 'Sparky', 'Heal Spirit']",3.625
#JV8208UJ9,"['Skeleton Barrel', 'Mortar', 'Knight', 'Musketeer', 'Minions', 'Skeletons', 'Fireball', 'Barbarian Barrel']",3.0
#PC2RUYYYQ,"['Tesla', 'Archers', 'The Log', 'Fireball', 'Skeletons', 'Knight', 'X-Bow', 'Electro Spirit']",3.0
#208R8PQJP9,"['Bomber', 'Lumberjack', 'Mini P.E.K.K.A', 'Giant', 'Rage', 'Heal Spirit', 'Fireball', 'Mega Minion']",3.125
#CVVCU2JJ8,"['Wall Breakers', 'Royal Ghost', 'Archer Queen', 'Miner', 'Poison', 'Goblin Hut', 'Skeletons', 'Barbarian Barrel']",3.0
#2Q2QCYLPR,"['Zap', 'Witch', 'Giant', 'Mini P.E.K.K.A', 'Rage', 'Dark Prince', 'Heal Spirit', 'Elixir Collector']",3.625
#JLY0CGU9J,"['Skeletons', 'Ice Spirit', 'Ice Golem', 'Cannon', 'Hog Rider', 'Fireball', 'The Log', 'Musketeer']",2.625
#JJ0P22Y0Y,"['Giant Snowball', 'Skeletons', 'Tornado', 'Mirror', 'Rocket', 'Mini P.E.K.K.A', 'Ice Wizard', 'Cannon']",2.75
#V0G2JGUUR,"['Cannon', 'Firecracker', 'Musketeer', 'Skeletons', 'Electro Spirit', 'Hog Rider', 'Earthquake', 'Barbarian Barrel']",2.625
#22VPV8GRC,"['Valkyrie', 'Baby Dragon', 'Vines', 'Mega Minion', 'Tombstone', 'Lava Hound', 'Balloon', 'Fireball']",4.125
#898Y8PGJ9,"['Skeleton Barrel', 'Fireball', 'Electro Wizard', 'Arrows', 'Witch', 'Knight', 'Princess', 'Earthquake']",3.5
#290VGG28,"['Skeletons', 'Zap', 'Mini P.E.K.K.A', 'Giant', 'Miner', 'Magic Archer', 'Minions', 'The Log']",3.0
#2QJUV8PYL,"['Royal Hogs', 'Skeletons', 'Mini P.E.K.K.A', 'Magic Archer', 'Earthquake', 'Ice Spirit', 'Royal Delivery', 'The Log']",2.875
#290UQY8C,"['Inferno Dragon', 'Zap', 'Knight', 'Lava Hound', 'Balloon', 'Void', 'Skeleton Dragons', 'Tombstone']",3.875
#PJL8PCGCP,"['Cannon', 'Giant Snowball', 'Knight', 'Bomber', 'Goblin Drill', 'Skeletons', 'Fire Spirit', 'Poison']",2.5
#80PJPGYG9,"['Goblin Barrel', 'Tesla', 'Knight', 'Electro Spirit', 'The Log', 'Princess', 'Goblin Gang', 'Rocket']",3.125
#G9YV9GR8R,"['Firecracker', 'Cannon', 'Mighty Miner', 'The Log', 'Lightning', 'Hog Rider', 'Electro Spirit', 'Guards']",3.25
#RJ88Y8U08,"['Valkyrie', 'Royal Ghost', 'Witch', 'Goblin Hut', 'Arrows', 'Poison', 'Hog Rider', 'Bomber']",3.625
#2YLRGVVC,"['Skeletons', 'Ice Spirit', 'Knight', 'Musketeer', 'Goblin Hut', 'Graveyard', 'Poison', 'Barbarian Barrel']",3.0
#LU0U2QYG,"['Ice Spirit', 'Tesla', 'Golden Knight', 'Rocket', 'Ice Wizard', 'Miner', 'The Log', 'Skeletons']",3.0
#22L8UUV0Q,"['Skeleton Army', 'Skeleton Barrel', 'Mini P.E.K.K.A', 'Dart Goblin', 'Wall Breakers', 'Fire Spirit', 'Ice Spirit', 'The Log']",2.375
#VP9GJYQ2,"['Royal Giant', 'Hunter', 'Mini P.E.K.K.A', 'Fisherman', 'The Log', 'Skeletons', 'Electro Spirit', 'Fireball']",3.125
#VCG2JVJ8C,"['Giant Snowball', 'Cannon', 'Berserker', 'Fire Spirit', 'Rocket', 'Bomber', 'Goblin Drill', 'Skeletons']",2.625
#2CLV2RP0,"['Lumberjack', 'Electro Dragon', 'Rune Giant', 'Goblin Machine', 'Inferno Dragon', 'Lightning', 'Tornado', 'Goblin Curse']",4.125
#YVJJL0JJ,"['Royal Ghost', 'Skeleton Army', 'Fisherman', 'Mother Witch', 'Giant Skeleton', 'Arrows', 'Zappies', 'Royal Hogs']",3.875
#P8VUY20C,"['Lumberjack', 'Electro Dragon', 'Barbarian Barrel', 'Battle Healer', 'Golem', 'Elixir Collector', 'Tornado', 'Skeleton Dragons']",4.5
#9CPCC890,"['Hunter', 'Royal Giant', 'Monk', 'Fisherman', 'Fireball', 'Electro Spirit', 'Skeletons', 'The Log']",3.25
#V2YPU2VRR,"['Lumberjack', 'Royal Ghost', 'Boss Bandit', 'Cannon Cart', 'Heal Spirit', 'Barbarian Barrel', 'Mother Witch', 'Electro Wizard']",3.625
#JJPV0YP0Y,"['Royal Ghost', 'Royal Giant', 'Fisherman', 'Hunter', 'Barbarian Barrel', 'Skeletons', 'Fireball', 'Electro Spirit']",3.0
#V2J08V0U0,"['Musketeer', 'Ice Spirit', 'Hog Rider', 'Fireball', 'The Log', 'Cannon', 'Skeletons', 'Ice Golem']",2.625
#G0LP8UVQ8,"['Knight', 'Firecracker', 'Royal Delivery', 'Tornado', 'Goblin Drill', 'Inferno Tower', 'Bowler', 'Fireball']",3.75
#CR8P920CC,"['Zap', 'Skeleton Army', 'Mini P.E.K.K.A', 'Knight', 'Arrows', 'Sparky', 'Minions', 'Minion Horde']",3.625
#2UJ2QQJJP,"['Elixir Collector', 'Skeletons', 'Mini P.E.K.K.A', 'Rage', 'Vines', 'Mirror', 'Heal Spirit', 'Freeze']",2.625
#U2LYQJQVY,"['Royal Ghost', 'Royal Giant', 'Hunter', 'Fireball', 'Fisherman', 'Barbarian Barrel', 'Electro Spirit', 'Skeletons']",3.0
#Y9R22RQ2,"['Wall Breakers', 'Cannon', 'Knight', 'Musketeer', 'Miner', 'Poison', 'Skeletons', 'The Log']",2.75
#GUPVGVQQV,"['Baby Dragon', 'Inferno Dragon', 'Golden Knight', 'Ice Wizard', 'Bowler', 'Tornado', 'Freeze', 'Graveyard']",4.0
#UQVL90CQQ,"['Giant Snowball', 'Tesla', 'Knight', 'Goblin Drill', 'Goblin Demolisher', 'Poison', 'Fire Spirit', 'Skeletons']",2.875
#ULR9Y9L2Y,"['Tesla', 'Archers', 'Skeletons', 'Fireball', 'Electro Spirit', 'The Log', 'Knight', 'X-Bow']",3.0
#RVPGYVQJ8,"['Cannon', 'Mega Knight', 'Skeletons', 'Ice Spirit', 'Musketeer', 'Hog Rider', 'Fireball', 'The Log']",3.25
#UP2GPP9Q2,"['Bats', 'Bomber', 'Barbarian Barrel', 'Skeletons', 'Zap', 'Goblin Curse', 'Giant Snowball', 'Fireball']",2.125
#QVGJUJLC,"['Skeletons', 'Bats', 'Mini P.E.K.K.A', 'Giant', 'Fisherman', 'Arrows', 'Rage', 'Heal Spirit']",2.625
#P8P0Q8CJ,"['Royal Giant', 'Royal Ghost', 'Hunter', 'Skeletons', 'Fisherman', 'Barbarian Barrel', 'Electro Spirit', 'Fireball']",3.0
#RG882QGUG,"['Valkyrie', 'Zap', 'Tombstone', 'Miner', 'Vines', 'Spirit Empress', 'Minions', 'Lava Hound']",3.875
#8QUVYC0G,"['Baby Dragon', 'Witch', 'Mini P.E.K.K.A', 'Knight', 'Golem', 'Vines', 'Elixir Collector', 'Barbarian Barrel']",4.375
#LLYGJL0R,"['Bats', 'Zap', 'Mini P.E.K.K.A', 'Giant', 'Arrows', 'Skeleton Army', 'Minion Horde', 'Sparky']",3.75
#QRYJLJG2,"['Skeletons', 'Mortar', 'Goblinstein', 'Ice Wizard', 'Poison', 'Graveyard', 'Barbarian Barrel', 'Tornado']",3.375
#UG0J8RGU9,"['Zap', 'Witch', 'Giant', 'Mini P.E.K.K.A', 'Elixir Collector', 'Dark Prince', 'Heal Spirit', 'Rage']",3.625
#RRLV0GQCV,"['Mortar', 'Skeletons', 'Musketeer', 'Mini P.E.K.K.A', 'Miner', 'Poison', 'Electro Spirit', 'Royal Delivery']",3.0
#C0V0UQ9UY,"['Archers', 'Tesla', 'Knight', 'The Log', 'Electro Spirit', 'Skeletons', 'Fireball', 'X-Bow']",3.0
#9ULPU0QL,"['Skeleton Barrel', 'Mortar', 'Knight', 'Musketeer', 'Skeletons', 'Barbarian Barrel', 'Fireball', 'Minions']",3.0
#9CRYPG9VQ,"['Musketeer', 'Giant Snowball', 'Mini P.E.K.K.A', 'Giant', 'Bowler', 'Minions', 'Graveyard', 'Arrows']",3.875
#QVPJRV,"['Bats', 'Zap', 'Mini P.E.K.K.A', 'Giant', 'Sparky', 'Minion Horde', 'Skeleton Army', 'Arrows']",3.75
#LP8PLVJCU,"['Wizard', 'Zap', 'Mini P.E.K.K.A', 'Giant', 'Sparky', 'Arrows', 'Tornado', 'Heal Spirit']",3.625
#R09228V,"['Barbarians', 'Bandit', 'Mini P.E.K.K.A', 'Cannon Cart', 'X-Bow', 'Giant', 'Freeze', 'Tornado']",4.375
#RCURY2U,"['Skeleton Army', 'Barbarians', 'Musketeer', 'Three Musketeers', 'Golem', 'Vines', 'Elixir Collector', 'Minion Horde']",5.375
#CL0CGQLQL,"['Inferno Dragon', 'Goblin Cage', 'Golden Knight', 'Skeletons', 'Electro Giant', 'Lightning', 'Tornado', 'Barbarian Barrel']",3.875
#R0CL8LPCL,"['Goblin Drill', 'Skeletons', 'Knight', 'Goblin Demolisher', 'Magic Archer', 'Goblin Hut', 'Tornado', 'The Log']",3.125
#9RYCQGVCJ,"['Baby Dragon', 'Royal Ghost', 'Giant', 'Mini P.E.K.K.A', 'Hunter', 'Arrows', 'Skeletons', 'Lightning']",3.75
#YQVCGQ8C8,"['Skeletons', 'Knight', 'Electro Spirit', 'Ice Spirit', 'Goblin Hut', 'Heal Spirit', 'Tornado', 'Barbarian Barrel']",2.0
#V9U9LQJ02,"['Graveyard', 'Baby Dragon', 'Knight', 'Barbarian Barrel', 'Tombstone', 'Ice Wizard', 'Tornado', 'Poison']",3.375
#V8ULJYCP8,"['Zap', 'Battle Ram', 'Dark Prince', 'Electro Wizard', 'Fireball', 'Bandit', 'Minions', 'P.E.K.K.A']",3.875
#U8RYGC8GU,"['Tesla', 'Giant Snowball', 'Knight', 'Goblin Drill', 'Goblin Demolisher', 'Poison', 'Skeletons', 'Fire Spirit']",2.875
#R2RR9J08,"['Wall Breakers', 'Cannon', 'Mighty Miner', 'Skeletons', 'Miner', 'The Log', 'Poison', 'Minions']",2.75
#RUQ0JU2P,"['Valkyrie', 'Executioner', 'The Log', 'Rocket', 'Hog Rider', 'Goblins', 'Ice Spirit', 'Tornado']",3.375
#L8999VJC,"['Goblin Barrel', 'Wall Breakers', 'Ice Spirit', 'Cannon', 'Berserker', 'Valkyrie', 'Fire Spirit', 'Dart Goblin']",2.375
#C89G2280Q,"['Skeletons', 'Goblin Cage', 'Arrows', 'Vines', 'Miner', 'Flying Machine', 'Skeleton Dragons', 'Lava Hound']",3.625
#220J8JRJ,"['Furnace', 'Ice Spirit', 'Knight', 'Graveyard', 'Poison', 'Barbarian Barrel', 'Goblin Hut', 'Berserker']",3.125
#QPG2CPCY8,"['Royal Ghost', 'Mortar', 'Miner', 'Goblin Gang', 'Goblinstein', 'Arrows', 'Cannon Cart', 'Ice Wizard']",3.625
#V02VR8JVP,"['Battle Ram', 'Royal Ghost', 'Golden Knight', 'Zap', 'Arrows', 'Minions', 'Mother Witch', 'P.E.K.K.A']",3.75
