playerTag,opponent,winner,battleTime,gameMode
#2Q9JG29RL,91至寒❤️和韧✨瓜呱,player,20251209T024543.000Z,Ranked1v1_NewArena
#2Q9JG29RL,SimonBarbsGod,opponent,20251209T024030.000Z,Ranked1v1_NewArena
#2Q9JG29RL,浣溪沙,player,20251209T023450.000Z,Ranked1v1_NewArena
#2Q9JG29RL,SK Morten,opponent,20251209T023037.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Bigfatsheep,opponent,20251209T022543.000Z,Ranked1v1_NewArena
#2Q9JG29RL,CRG I 1.6 S40,opponent,20251209T022056.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Kimchi77✨白影,player,20251209T021718.000Z,Ranked1v1_NewArena
#2Q9JG29RL,有血性的 Agony,opponent,20251209T021218.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Sky,player,20251209T020839.000Z,Ranked1v1_NewArena
#2Q9JG29RL,CAL Pedro™️✨白影,opponent,20251209T020300.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Dominik,opponent,20251209T015616.000Z,Ranked1v1_NewArena
#2Q9JG29RL,MAHH,player,20251209T015305.000Z,Ranked1v1_NewArena
#2Q9JG29RL,StarRus,player,20251209T014732.000Z,Ranked1v1_NewArena
#2Q9JG29RL,OverKi11,player,20251209T014154.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Tanjiro,opponent,20251209T013752.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Tzm,opponent,20251209T013429.000Z,Ranked1v1_NewArena
#2Q9JG29RL,律师Kun⚡️WALTER⚡️,opponent,20251209T013101.000Z,Ranked1v1_NewArena
#2Q9JG29RL,waterMelon67,player,20251209T012622.000Z,Ranked1v1_NewArena
#2Q9JG29RL,陌音✨Jonah,opponent,20251209T012108.000Z,Ranked1v1_NewArena
#2Q9JG29RL,浣溪沙,player,20251209T011631.000Z,Ranked1v1_NewArena
#2Q9JG29RL,thitay04,opponent,20251209T011310.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Rainbow,opponent,20251209T010716.000Z,Ranked1v1_NewArena
#2Q9JG29RL,שרוני מבורך,player,20251209T010058.000Z,Ranked1v1_NewArena
#2Q9JG29RL,LMT Renan Oak™,player,20251209T005734.000Z,Ranked1v1_NewArena
#2Q9JG29RL,MAHH,player,20251209T005217.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Baby Nateee,opponent,20251209T004822.000Z,Ranked1v1_NewArena
#2Q9JG29RL,91至寒❤️和韧✨瓜呱,player,20251209T004201.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Clasher,opponent,20251209T003745.000Z,Ranked1v1_NewArena
#2Q9JG29RL,Mohamed Light,opponent,20251209T003147.000Z,Ranked1v1_NewArena
